uid,path,cog,fri_dur,word,consonant,vowel,train,label,label_idx,class
itsi_2216,PhonGen2025/data/itsi/itsi_2216.npy,3757.213500455861,105.65375011958184,itsi,ts,i,yes,itsi,0,itsi
itsi_2583,PhonGen2025/data/itsi/itsi_2583.npy,4003.6893268286,95.1372083126219,itsi,ts,i,yes,itsi,0,itsi
itsi_1663,PhonGen2025/data/itsi/itsi_1663.npy,4641.6586351986325,88.1649045497613,itsi,ts,i,yes,itsi,0,itsi
itsi_3028,PhonGen2025/data/itsi/itsi_3028.npy,4172.942521018874,95.04008497484013,itsi,ts,i,yes,itsi,0,itsi
itsi_4344,PhonGen2025/data/itsi/itsi_4344.npy,4441.70428310611,101.16925708987162,itsi,ts,i,yes,itsi,0,itsi
itsi_2681,PhonGen2025/data/itsi/itsi_2681.npy,3705.8526798849416,95.25082183443612,itsi,ts,i,yes,itsi,0,itsi
itsi_1766,PhonGen2025/data/itsi/itsi_1766.npy,3783.700720825416,86.28953816598785,itsi,ts,i,yes,itsi,0,itsi
itsi_1124,PhonGen2025/data/itsi/itsi_1124.npy,4412.70930171242,111.08737731455236,itsi,ts,i,yes,itsi,0,itsi
itsi_4055,PhonGen2025/data/itsi/itsi_4055.npy,4364.172220342418,104.2904025007551,itsi,ts,i,yes,itsi,0,itsi
itsi_3762,PhonGen2025/data/itsi/itsi_3762.npy,4297.73699422359,81.32390227847216,itsi,ts,i,yes,itsi,0,itsi
itsi_1536,PhonGen2025/data/itsi/itsi_1536.npy,3457.792405035151,94.15420466843211,itsi,ts,i,yes,itsi,0,itsi
itsi_2945,PhonGen2025/data/itsi/itsi_2945.npy,4332.884273139103,90.87822766005108,itsi,ts,i,yes,itsi,0,itsi
itsi_2988,PhonGen2025/data/itsi/itsi_2988.npy,4005.73704265064,76.1934723160807,itsi,ts,i,yes,itsi,0,itsi
itsi_4292,PhonGen2025/data/itsi/itsi_4292.npy,3354.7055764931865,93.18944438715909,itsi,ts,i,yes,itsi,0,itsi
itsi_4343,PhonGen2025/data/itsi/itsi_4343.npy,4431.452800994825,90.93559528415724,itsi,ts,i,yes,itsi,0,itsi
itsi_4425,PhonGen2025/data/itsi/itsi_4425.npy,3771.401520088236,101.75086998700198,itsi,ts,i,yes,itsi,0,itsi
itsi_7942,PhonGen2025/data/itsi/itsi_7942.npy,4172.0178016377295,88.58046791734688,itsi,ts,i,yes,itsi,0,itsi
itsi_4998,PhonGen2025/data/itsi/itsi_4998.npy,3787.8534484007096,109.52347359774524,itsi,ts,i,yes,itsi,0,itsi
itsi_2749,PhonGen2025/data/itsi/itsi_2749.npy,4415.419234592645,94.4748034182946,itsi,ts,i,yes,itsi,0,itsi
itsi_2303,PhonGen2025/data/itsi/itsi_2303.npy,4015.156569592111,82.23747657463203,itsi,ts,i,yes,itsi,0,itsi
itsi_3933,PhonGen2025/data/itsi/itsi_3933.npy,4149.025775862976,79.09315665917276,itsi,ts,i,yes,itsi,0,itsi
itsi_5957,PhonGen2025/data/itsi/itsi_5957.npy,3762.806550559376,79.25684538486263,itsi,ts,i,yes,itsi,0,itsi
itsi_6132,PhonGen2025/data/itsi/itsi_6132.npy,4328.870820412746,93.33233224530692,itsi,ts,i,yes,itsi,0,itsi
itsi_7597,PhonGen2025/data/itsi/itsi_7597.npy,3618.32741508609,82.323063333232,itsi,ts,i,yes,itsi,0,itsi
itsi_0795,PhonGen2025/data/itsi/itsi_0795.npy,3124.867493916277,94.04186116360133,itsi,ts,i,yes,itsi,0,itsi
itsi_3164,PhonGen2025/data/itsi/itsi_3164.npy,4003.1477448109727,104.763991872817,itsi,ts,i,yes,itsi,0,itsi
itsi_7941,PhonGen2025/data/itsi/itsi_7941.npy,3833.7085619805766,94.00308227005402,itsi,ts,i,yes,itsi,0,itsi
itsi_3182,PhonGen2025/data/itsi/itsi_3182.npy,3736.042941634753,111.74079285647431,itsi,ts,i,yes,itsi,0,itsi
itsi_0764,PhonGen2025/data/itsi/itsi_0764.npy,4310.722663745775,111.30741856718672,itsi,ts,i,yes,itsi,0,itsi
itsi_3079,PhonGen2025/data/itsi/itsi_3079.npy,3523.9714296627703,82.41987381691962,itsi,ts,i,yes,itsi,0,itsi
itsi_0812,PhonGen2025/data/itsi/itsi_0812.npy,4464.350818815688,92.92184002232158,itsi,ts,i,yes,itsi,0,itsi
itsi_7260,PhonGen2025/data/itsi/itsi_7260.npy,3933.385519387962,100.49659296971858,itsi,ts,i,yes,itsi,0,itsi
itsi_6932,PhonGen2025/data/itsi/itsi_6932.npy,3392.059334124647,96.07874469331688,itsi,ts,i,yes,itsi,0,itsi
itsi_1619,PhonGen2025/data/itsi/itsi_1619.npy,4069.347299174314,103.27754800863131,itsi,ts,i,yes,itsi,0,itsi
itsi_6827,PhonGen2025/data/itsi/itsi_6827.npy,3598.553350510647,96.23900721396052,itsi,ts,i,yes,itsi,0,itsi
itsi_1043,PhonGen2025/data/itsi/itsi_1043.npy,3775.8929057108016,117.9595732958478,itsi,ts,i,yes,itsi,0,itsi
itsi_5319,PhonGen2025/data/itsi/itsi_5319.npy,3500.848750047689,110.6402329745278,itsi,ts,i,yes,itsi,0,itsi
itsi_4795,PhonGen2025/data/itsi/itsi_4795.npy,3748.175807135549,93.29464997453223,itsi,ts,i,yes,itsi,0,itsi
itsi_0488,PhonGen2025/data/itsi/itsi_0488.npy,3724.6642204531936,96.43166617647783,itsi,ts,i,yes,itsi,0,itsi
itsi_1018,PhonGen2025/data/itsi/itsi_1018.npy,4081.6434227081527,106.88036929575398,itsi,ts,i,yes,itsi,0,itsi
itsi_2816,PhonGen2025/data/itsi/itsi_2816.npy,4351.974632042527,98.41949320474976,itsi,ts,i,yes,itsi,0,itsi
itsi_2717,PhonGen2025/data/itsi/itsi_2717.npy,4178.955218718962,88.99172805906657,itsi,ts,i,yes,itsi,0,itsi
itsi_5364,PhonGen2025/data/itsi/itsi_5364.npy,4242.411350140059,91.96541837621656,itsi,ts,i,yes,itsi,0,itsi
itsi_2930,PhonGen2025/data/itsi/itsi_2930.npy,3870.8074372885767,109.81157424493664,itsi,ts,i,yes,itsi,0,itsi
itsi_3363,PhonGen2025/data/itsi/itsi_3363.npy,4238.90396354756,104.63366960357328,itsi,ts,i,yes,itsi,0,itsi
itsi_5166,PhonGen2025/data/itsi/itsi_5166.npy,4890.860139963946,76.97662438921583,itsi,ts,i,yes,itsi,0,itsi
itsi_1076,PhonGen2025/data/itsi/itsi_1076.npy,3913.1612686117287,103.95966277801932,itsi,ts,i,yes,itsi,0,itsi
itsi_6399,PhonGen2025/data/itsi/itsi_6399.npy,3928.7033416787344,105.22182072907589,itsi,ts,i,yes,itsi,0,itsi
itsi_4982,PhonGen2025/data/itsi/itsi_4982.npy,3669.1420712457,96.35732358034625,itsi,ts,i,yes,itsi,0,itsi
itsi_6229,PhonGen2025/data/itsi/itsi_6229.npy,4365.992217947816,70.38484572633956,itsi,ts,i,yes,itsi,0,itsi
itsi_2922,PhonGen2025/data/itsi/itsi_2922.npy,4266.447701684381,98.97806294325927,itsi,ts,i,yes,itsi,0,itsi
itsi_4020,PhonGen2025/data/itsi/itsi_4020.npy,3650.504950808149,78.59758395889668,itsi,ts,i,yes,itsi,0,itsi
itsi_4332,PhonGen2025/data/itsi/itsi_4332.npy,3479.452177739726,119.3128423952846,itsi,ts,i,yes,itsi,0,itsi
itsi_7000,PhonGen2025/data/itsi/itsi_7000.npy,4147.468106889445,87.73266947414848,itsi,ts,i,yes,itsi,0,itsi
itsi_1323,PhonGen2025/data/itsi/itsi_1323.npy,4528.76982637032,99.66287286404504,itsi,ts,i,yes,itsi,0,itsi
itsi_7732,PhonGen2025/data/itsi/itsi_7732.npy,3497.5136018823464,105.66329761003172,itsi,ts,i,yes,itsi,0,itsi
itsi_2253,PhonGen2025/data/itsi/itsi_2253.npy,4208.282381732808,75.93889531134181,itsi,ts,i,yes,itsi,0,itsi
itsi_6655,PhonGen2025/data/itsi/itsi_6655.npy,3664.685697550052,95.24668109748526,itsi,ts,i,yes,itsi,0,itsi
itsi_7245,PhonGen2025/data/itsi/itsi_7245.npy,3729.591297435864,83.6736547988885,itsi,ts,i,yes,itsi,0,itsi
itsi_0867,PhonGen2025/data/itsi/itsi_0867.npy,3524.7456264235425,93.43290316897073,itsi,ts,i,yes,itsi,0,itsi
itsi_5592,PhonGen2025/data/itsi/itsi_5592.npy,4030.306483383456,93.55983756234808,itsi,ts,i,yes,itsi,0,itsi
